;fcitx Version 0x03 Table file
KeyCode='abcdefghijklmnopqrstuvwxyz.,;
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
'	去
cix,	成倍
cije	成才
ciej	称道
cieb	唱高调
ciei	称孤道寡
cied	承当
ciec	称帝
cieh	承担
ciet	长歌当哭
cieg	成都
ciek	成对
cie.	承德
ciua	惩罚
ciuu	成分
ciuh	盛饭
ciud	城防
ciur	成佛
ciug	城府
ciup	成果斐然
ciio	成功
cii,	庱
ciir	成果
ciip	城管
cii;	承购
ciih	撑杆
cidj	称号
cidn	橙黄
cidr	成活
cidp	承欢
cido	橙红
cidg	称呼
cidf	成婚
cic.	乘车
cicu	称臣
cicc	城池
cicp	乘船
cicg	惩处
cihc	成绩
cih	承建
cihm	城建
cihb	成交
cihl	承接
cih'	成就
cihq	成家
cite	撑开
cit.	乘客
citu	诚恳
cito	程控
cin.	成了
cinc	成立
cinc	出乖露丑
cinh	承揽
cinn	乘凉
cino	成龙
cin;	城楼
cink	成功率
cinq	陈规陋习
cind	车轱辘话
cimu	城门
cimi	承蒙
cimh	盛满
cimt	成名
cimm	春光明媚
cibi	逞能
cibm	成年
cib,	城内
cilx	成品
cilc	成批
cilm	成片
cilr	撑破
ci'x	成亲
ci'c	撑起
ci't	澄清
ci'n	城墙
ci'p	成全
ci'g	城区
ci'f	成群
cipu	承认
cipp	偁
cipd	承让
ciph	诚然
cipg	诚如
cio.	橙色
cioc	撑死
cioo	称颂
cioh	撑伞
ciyj	成套
ciym	成天
ciyr	秤砣
ciy;	城头
cig	诚实
cigi	乘胜
cigc	城市
cign	成双
cigg	成熟
cig;	承受
cikj	诚招
cik.	撑着
ciku	城镇
ciki	诚征
cikd	成长
ciko	承重
cikg	撑住
ci,e	城外
ci,u	成文
ci,d	称王
ci,g	乘务
ci,,	称为
ciq	诚信
ciqx	诚心
ciqc	承袭
ciqt	成型
ciqn	城乡
ciqm	呈现
ciqb	成效
ciqb	承销
ciql	称谢
ciqo	称雄
ciqg	程序
ciqq	城下
cifx	成因
cifj	撑腰
cifc	诚意
cifp	成员
cifg	成语
ciff	承运
cifd	重归于好
ci;e	承载
ci;c	橙子
ci;h	称赞
ci;r	乘坐
ci;g	承租
ci;g	成组
ci;m	陈谷子烂芝麻
cdab	长安
cdx,	常备
cdxu	唱本
cdjc	场次
cdjf	长存
cde	尝到
cdea	长达
cdej	倡导
cde.	常德
cdei	长凳
cdec	场地
cdeh	趁火打劫
cdep	长短
cdeg	长度
cdeg	长话短说
cd..	嫦娥
cdua	长发
cduu	肠粉
cdud	厂房
cduh	常犯
cdug	偿付
cdik	常规
cdi.	唱歌
cdip	场馆
cdio	唱功
cdif	长棍
cddk	茶话会
cdd.	场合
cddp	偿还
cddo	长虹
cddh	楚河汉界
cdcx	唇红齿白
cdci	长城
cdcd	常常
cdct	诚惶诚恐
cdcg	长处
cdcf	长春
cdcp	长串
cdcp	超乎常人
cdhm	常见
cdht	场景
cdhn	长江
cdhl	长街
cdh'	长久
cdhp	长卷
cdhy	猖獗
cdhg	长句
cdhq	厂家
cdhc	娼妓
cdte	敞开
cdt.	常客
cdtt	畅快
cdtn	猖狂
cdto	长空
cdtg	长裤
cdt;	敞口
cdn	常理
cdne	常来
cdnd	长廊
cdnc	厂里
cdnn	敞亮
cdnm	春花烂漫
cdnl	蠢话连篇
cdn'	春寒料峭
cdno	吃喝拉撒
cdmj	长毛
cdmt	偿命
cdmm	场面
cdbm	常年
cdb,	场内
cdl	长篇
cdlj	长跑
cdlm	唱片
cdli	敞篷
cdle	吃喝嫖赌
cd'c	长期
cd't	长青
cd'n	唱腔
cd'p	长拳
cd'g	常去
cd'g	春华秋实
cd'f	长裙
cd'f	春花秋月
cdpu	常人
cdph	怅然
cdp,	车毁人亡
cdor	场所
cdye	常态
cdyh	畅谈
cdyb	冲昏头脑
cdyo	畅通
cdyy	成何体统
cdyg	长途
cdga	长沙
cdg.	常设
cdgi	长生
cdgd	厂商
cdgc	尝试
cdgc	常识
cdgr	常说
cdgy	丑话说在前头
cdgg	常数
cdgf	畅顺
cdg;	长寿
cdkd	厂长
cdke	偿债
cdk.	唱着
cdki	长征
cdkc	厂址
cdkn	吹灰之力
cdkg	常驻
cdkl	窗户纸一点就破
cd,	常委
cd,e	场外
cd,u	常温
cd,d	怅惘
cd,n	吃喝玩乐
cd,g	常务
cd,,	肠胃
cdqn	畅想
cdqm	长线
cdqm	尝鲜
cdqb	畅销
cdqy	长靴
cdqg	畅叙
cdq'	长袖
cdqq	超乎想象
cdfx	畅饮
cdf.	长夜
cdfd	徜徉
cdfc	倡议
cdfh	常言
cdf;	畅游
cdfn	出乎意料
cdfp	长远
cdfo	常用
cdfg	长于
cd;	场子
cd;c	厂子
cd;f	吹胡子瞪眼
cd;g	长足
ccxa	吃吧
ccxj	吃饱
ccxd	翅膀
ccxc	赤壁
ccxh	愁肠百结
ccxr	赤膊
ccx'	踌躇不前
ccjj	吃草
ccje	吃菜
ccjd	持仓
ccjg	吃醋
ccjf	尺寸
ccej	迟到
ccee	痴呆
ccee	彻彻底底
ccet	吃定
ccem	吃点
cceb	吃掉
ccer	褫夺
ccep	楚楚动人
cceg	尺度
ccef	迟钝
ccuh	吃饭
ccin	吃光
ccir	吃过
ccig	持股
ccdj	吃好
ccd.	吃喝
ccdr	吃货
ccdd	吃吃喝喝
ccdp	迟缓
ccdo	赤红
ccdf	吃荤
ccd;	赤橙黄绿青蓝紫
ccci	驰骋
cccc	迟迟
cccp	吃穿
ccca	吃茶
cch'	持久
cchx	吃紧
cchc	驰骋疆场
cchh	长长久久
ccht	吃惊
cchb	赤脚
cchq	持家
cchd	重出江湖
ccta	持卡
cctn	楚楚可怜
cctg	吃苦
cctk	吃亏
ccn	迟了
ccne	迟来
ccn.	吃了
ccni	齿冷
ccnc	吃力
ccnr	赤裸
ccnf	齿轮
ccnf	垂垂老矣
ccma	尺码
ccmc	痴迷
ccmt	驰名
ccmn	初出茅庐
ccmm	缠缠绵绵
ccmg	迟暮
ccmk	踌躇满志
ccbe	吃奶
ccbu	插翅难飞
ccbi	称臣纳贡
ccbb	吵吵闹闹
ccby	插翅难逃
cclt	持平
cclx	处处碰壁
cc'g	传出去
cc't	痴情
cc'n	持枪
ccp.	炽热
ccpu	吃人
ccpp	吵吵嚷嚷
ccpg	耻辱
ccp;	吃肉
ccog	吃素
ccoh	𫄨
ccyd	池塘
ccy;	吃透
ccgu	赤身
ccgc	吃屎
ccg;	赤手
ccka	叱咤
cckx	唇齿之邦
ccke	吃斋
cck.	吃着
cckc	迟滞
ccko	持重
cckg	吃住
cckf	吃准
cckq	吃穿住行
cc,h	吃完
cc,g	迟误
cc,,	颤颤巍巍
ccqm	尝尝鲜
ccq,	瓻
ccqx	痴心
ccqb	耻笑
ccqg	持续
ccql	吃些
ccqn	吃香
ccqf	唇齿相依
ccf;	持有
ccfj	吃药
ccfe	蠢蠢欲动
ccfc	迟疑
ccfh	迟延
ccfp	驰援
ccff	绰绰有余
cc;j	迟早
cc;.	斥责
cc;c	尺子
cc;c	赤字
cc;g	赤足
chxj	传家宝
chxq	除旧布新
chx'	出简不出全
chec	产地
cheo	颤动
che;	颤抖
chei	超级大国
chef	穿金戴银
chua	阐发
chud	产房
chug	搀扶
chih	成就感
chik	馋鬼
chim	初具规模
chiy	廛
chit	韂
chdd	楚界汉河
chdn	长江后浪推前浪
chdr	掺和
chdk	忏悔
chd;	产后
chch	潺潺
chcg	产出
chcg	蟾蜍
chcq	初见成效
chhc	禅机
chhl	缠结
chhp	婵娟
chhq	产假
cht.	产科
chtn	春节快乐
chty	吃尽苦头
chng	长颈鹿
chnl	产
chn.	觇
chnn	产量
chnm	蝉联
chnp	产卵
chnk	掣襟露肘
chnf	成家立业
chmj	馋猫
chmt	阐明
chmm	缠绵
chm,	谄媚
chbi	产能
chlt	铲平
chln	船坚炮利
ch'p	产权
ch'c	产期
ch'm	产前
ch'g	产区
chpj	缠绕
chpe	儳
chpr	孱弱
chpq	出将入相
chod	成吉思汗
chy;	长镜头
chyp	重见天日
chyg	创巨痛深
chyk	蝉蜕
chgu	缠身
chgi	产生
chgc	阐释
chg'	触景生情
chgg	阐述
chgk	掺水
chk	持久战
chk.	缠着
chkd	禅杖
chkc	产值
chkh	长久之计
ch,g	产物
chqb	产销
chfx	颤音
chf.	产业
chfh	谗言
chfg	产于
chfq	除旧迎新
ch;a	掺杂
ch;c	产自
ch;g	缠足
ch;k	馋嘴
ctxh	触控板
ctj.	揣测
cter	揣度
cted	插科打诨
ct.c	冲口而出
ctck	出口成章
ctmr	揣摩
ctbn	吃苦耐劳
ct'c	喘口气
ctyl	创可贴
ctgp	出口伤人
cthm	吹糠见米
ctqu	敞开心扉
ctfj	吃糠咽菜
ct;'	吃亏在眼前
cnxa	疮疤
cnxj	出类拔萃
cnx'	查漏补缺
cnxe	吃了豹子胆
cnxd	吃力不讨好
cnxh	创办
cnxm	床边
cnxg	吃粮不管事
cnxq	川流不息
cned	闯荡
cnee	豺狼当道
cnet	吃了大亏
cneh	床单
cnem	床垫
cnek	重峦叠嶂
cnu,	差旅费
cnum	初露锋芒
cnub	出离愤怒
cnir	闯过
cnip	闯关
cniu	吃了个饭
cndg	窗户
cndr	闯祸
cndk	创汇
cndx	豺狼虎豹
cnca	查了查
cncd	尝了尝
cnhx	闯进
cnhm	创建
cnhb	床脚
cnhg	创举
cnt;	窗口
cnth	创刊
cntq	乘龙快婿
cnt'	出了口气
cnnr	赤裸裸
cnnc	创立
cnnt	窗棂
cnnm	窗帘
cnmm	创面
cnme	出了名的
cnlx	处理品
cnly	触类旁通
cnlg	床铺
cnl,	吃里扒外
cn'c	处理器
cn'm	窗前
cn';	吃了枪子
cn'h	春兰秋菊
cnph	怆然
cnpg	闯入
cny;	床头
cnya	床榻
cnye	窗台
cnyo	创痛
cnyk	垂帘听政
cnyc	吹拉弹唱
cng	床上
cng.	创设
cngd	创伤
cngc	创始
cng;	创收
cnkh	车轮战
cnkj	床罩
cnke	初来乍到
cnkc	创制
cn,e	窗外
cn,,	床位
cnqx	创新
cnqq	创下
cnqe	吃了熊心豹子胆
cnfc	创意
cnf.	创业
cnfh	吵了一架
cnf'	出了一口气
cnf;	创优
cn;j	创造
cn;c	窗子
cn;r	创作
cmxf	沉默不语
cmxn	出毛病了
cmxo	长命百岁
cmxk	愁眉不展
cmej	崇明岛
cmuj	缠绵悱恻
cmif	沉默寡言
cmdj	出谋划策
cmhh	窗明几净
cmho	沉湎酒色
cmhg	瞠目结舌
cmhq	触目惊心
cmtn	愁眉苦脸
cmne	车马劳顿
cmnq	程门立雪
cmnf	愁眉泪眼
cmmt	重命名
cmlt	触摸屏
cmgc	触摸式
cm'j	吹毛求疵
cmpg	臣门如市
cmgd	城门失火
cmgf	城门失火，殃及池鱼
cmgh	沉默是金
cmk.	充满着
cmkb	迟暮之年
cmkk	臭名昭著
cmkq	查明真相
cmk,	驰名中外
cm,c	出没无常
cm,d	春梦无痕
cm,n	魑魅魍魉
cmqj	出谋献策
cmfg	沉迷于
cmff	柴米油盐
cmff	臭名远扬
cmfc	柴米油盐酱醋茶
cm;,	出门在外
cbxi	吹牛不打草稿
cbxb	传男不传女
cbeh	吃奶的劲
cbdt	春暖花开
cbhg	陈年旧事
cbhk	陈年旧账
cbnc	超能力
cbn.	吃腻了
cbnh	陈年老酒
cbnf	长年累月
cbmr	处女膜
cblc	吹牛皮
cbpu	成年人
cbkh	刹那之间
cbfb	痴男怨女
cb;	处女作
cb;r	处女座
cb;,	常年在外
crxc	辍笔
crdj	绰号
crcp	戳穿
crhc	戳记
crlr	戳破
cr'c	啜泣
crpg	戳入
crqy	辍学
crfy	绰约
clen	长篇大论
clek	CL 地址
clqg	长篇小说
clne	长篇累牍
c'xx	乘其不备
c'xu	春秋笔法
c'xd	惩前毖后
c'xf	出其不意
c'eg	春秋鼎盛
c'eb	重启电脑
c'up	锄强扶弱
c'cy	臭气冲天
c'cn	潮起潮落
c'he	成群结队
c'n.	出去了
c'nn	充其量
c'n;	重起炉灶
c'ne	陈腔滥调
c''d	承前启后
c''n	春去秋来
c'pf	差强人意
c'yo	出气筒
c'gc	重庆市
c'gh	唇枪舌剑
c'g,	成千上万
c'ki	春秋战国
c'kp	长驱直入
c'kg	出奇制胜
c',h	出去玩
c',f	除却巫山不是云
c'fn	长期以来
c'fy	出去一趟
c'fq	出去一下
c';;	出去走走
cpxd	穿帮
cpxt	传染病
cpxh	宠辱不惊
cpxm	传遍
cpxr	传播
cpxr	船舶
cpxy	吃人不吐骨头
cpx,	川贝
cpxf	吃软不吃硬
cpx;	成人不自在
cpje	川菜
cpjd	船舱
cpe	传道
cpea	传达
cpej	传导
cpee	穿戴
cpec	传递
cpeh	传单
cpey	趁热打铁
cpek	船队
cpeo	传动
cpu	吃软饭
cpug	船夫
cpuh	船帆
cpir	穿过
cpio	串供
cpi,	传给
cpdj	穿好
cpdd	串行
cpdp	传唤
cpdg	传呼
cpdq	传话
cpcg	传出
cpcd	串场
cpca	穿插
cpcj	传抄
cpci	传承
cpcp	串串
cphn	船桨
cphb	传教
cphg	川剧
cphe	吃人家的嘴短
cphi	吃人家饭，受人家管
cpte	传开
cpt;	串口
cpne	传来
cpnt	传令
cpnm	串联
cpni	常任理事国
cpmu	串门
cpm,	传媒
cplb	船票
cplr	穿破
cp'c	传奇
cp''	传球
cp'f	成仁取义
cpph	传染
cppk	传
cpp.	传热
cppu	传人
cppg	传入
cppg	怅然若失
cpoo	传送
cpor	穿梭
cpy	串通
cpye	出人头地
cpyo	传统
cpy;	穿透
cpgr	传说
cpgu	传神
cpgd	穿上
cpgc	传世
cpgm	痴人说梦
cpgj	串烧
cpgg	传输
cpg;	传授
cpk.	穿着
cpku	传真
cpkd	船长
cpkc	船只
cpkm	成人之美
cpkr	穿着
cpko	传中
cpkg	船主
cpka	船闸
cpk,	乘人之危
cp,u	传闻
cp,,	超然物外
cp,g	船坞
cpqd	仇人相见，分外眼红
cpqc	喘息
cpqt	穿行
cpqm	船舷
cpqb	传销
cpql	穿鞋
cpqf	传讯
cpfh	传言
cpfd	传扬
cpfc	穿衣
cpfj	传谣
cpfn	出人意料
cpf,	出人意外
cpfx	出人意表
cpff	船运
cpfp	船员
cpfy	穿越
cp;d	川藏
coac	宠爱
coxe	崇拜
coxh	抽丝剥茧
coxr	重播
cojj	虫草
cojc	冲刺
cojo	差三错四
coeo	冲动
coef	涌
coek	冲
coe.	㳘
coeq	漴
coea	重打
coee	撑死胆大的
coed	充当
coeh	冲淡
coem	充电
coeb	冲掉
coel	重叠
co.p	宠儿
couu	充分
coui	重逢
couh	重返
coug	重复
coi	冲高
coij	崇高
coir	冲过
coi;	重构
coio	充公
cod.	重合
codt	宠坏
codr	重获
code	虫害
codk	重回
codf	重婚
coca	冲茶
coco	重重
cocd	重唱
cocc	充斥
cocg	冲出
cohx	冲进
cohc	冲击
coht	憧憬
coht	崇敬
cohm	重建
cohg	重聚
cohf	充军
cotq	冲垮
conn	冲凉
cone	重来
cond	冲浪
conc	冲力
conp	虫卵
conh	沉思良久
comh	充满
coma	重码
comt	重名
colr	冲破
col,	充沛
co't	重庆
copg	冲入
coog	重塑
coo.	充塞
coof	重孙
cooc	楚虽三户，亡秦必楚
coyg	冲突
coyt	埫
coyc	重提
coym	冲天
cogc	充实
coga	冲杀
cog.	重设
cogu	重申
cogi	重生
cogd	崇尚
cogg	充数
cogq	冲刷
cok.	冲着
coku	重振
coki	重整
cokc	充值
cokn	重装
cokk	垂死挣扎
co,u	重温
co,g	宠物
co,,	重围
coqx	重新
coqc	冲洗
coqt	宠幸
coqn	冲向
coqm	重现
coqb	冲销
coql	重写
coq'	重修
coqy	充血
coqq	重下
cofg	充裕
cofa	虫牙
cofh	重演
cofd	重阳
cofc	充溢
coff	畅所欲言
co;	重组
co;c	虫子
co;g	充足
co;;	冲走
cyxy	长痛不如短痛
cyxc	丑态百出
cyxg	长途跋涉
cyel	吹弹得破
cytl	吹弹可破
cynm	出头露面
cyc,	彻头彻尾
cyxn	丑态毕露
cyuf	尘土飞扬
cyik	床头柜
cyib	传统观念
cyme	传统美德
cybb	出头鸟
cyo'	垂头丧气
cyoh	秤砣虽小压千斤
cyyb	赤条条
cyyi	赤条条来去无牵挂
cygd	传统社会
cykp	出头之日
cyki	呈堂证供
cy,;	畅通无阻
cy,d	传统文化
cyqy	长筒靴
cyfp	差太远
cyf'	串通一气
cyfg	长叹一声
cyfn	差太远了
cgxg	初步
cgxx	出殡
cgxu	出手不凡
cgxh	出版
cgxh	处事不惊
cgxt	出兵
cgxn	长生不老
cgx,	储备
cgx;	成事不足
cgxf	成事不足，败事有余
cgjf	储存
cgjj	除草
cgje	出彩
cgjd	储藏
cgjc	初次
cgjr	出错
cgej	出道
cgei	初等
cgec	触底
cgem	触电
cgeb	除掉
cgeo	触动
cgeo	出动
cg.p	初二
cg.'	抽身而去
cgua	出发
cguu	处分
cgud	厨房
cguh	触犯
cgup	出水芙蓉
cgu,	除非
cgi	橱柜
cgij	初稿
cgid	出港
cgi.	出格
cgih	触感
cgir	出国
cgik	出轨
cgde	除害
cgdh	出汗
cgdr	出货
cgdg	出乎
cgdq	初始化
cgce	出差
cgce	成双成对
cgcu	除尘
cgcf	初春
cgci	出城
cgcd	出场
cgch	出产
cgcn	橱窗
cgco	除虫
cgcg	处处
cgc;	出丑
cghx	出尽
cghc	初级
cghm	长时间
cghh	常胜将军
cght	出境
cghn	崇山峻岭
cghb	触角
cghl	出借
cghy	触觉
cghg	出局
cghq	出家
cgt;	出口
cgte	除开
cgtt	诚实可靠
cgt'	赤手空拳
cgto	触控
cgth	触手可及
cgnc	处理
cgne	出来
cgn.	除了
cgnn	储量
cgnm	初恋
cgnr	出落
cgno	出笼
cgny	初略
cgny	赤身裸体
cgng	出路
cgma	出马
cgme	出卖
cgmu	出门
cgmt	出名
cgmn	车水马龙
cgmy	抽水马桶
cgmm	出面
cgmr	触摸
cgmg	触目
cgbk	处女
cgba	出纳
cgbe	初生牛犊
cgbd	初生牛犊不怕虎
cgbh	处男
cgbm	初年
cgbg	触怒
cglx	出品
cgle	出牌
cgli	触碰
cglt	触屏
cgld	超水平发挥
cg'g	出去
cg'x	出勤
cg'c	初期
cg'm	出钱
cg'b	出鞘
cg''	初秋
cg''	出糗
cg'p	除权
cg'y	除却
cg'q	承上启下
cgpu	出任
cgpd	出神入化
cgpo	出生入死
cgpe	出双入对
cgpg	出入
cgoe	初赛
cgo.	出色
cgoc	处死
cgoh	初三
cgor	处所
cgy;	出头
cgyj	出逃
cgye	出台
cgyc	出题
cgyh	初探
cgyt	出庭
cgyo	触痛
cgyg	出土
cggu	出身
cggi	出生
cggi	畜生
cggc	厨师
cggh	出山
cggk	出水
cgg;	出售
cggq	诚实守信
cgkj	出招
cgku	出诊
cgki	出征
cgkd	处长
cgkc	处置
cgkh	出战
cgk	初衷
cgko	初中
cgky	初始状态
cg,e	除外
cg,u	初吻
cg,d	触网
cg,g	储物
cg,h	出师未捷
cgqc	出席
cgqt	雏形
cgqx	初心
cgqy	初学
cgqg	储蓄
cgqq	初夏
cgqq	重拾信心
cgqk	春生夏长
cgqf	出巡
cgf	出于
cgf.	初夜
cgfc	初一
cgfh	出演
cgfp	出院
cgfg	处于
cgf;	出游
cg;e	处在
cg;c	出自
cg;y	成事在天
cg;g	出租
cg;;	出走
cgeq	城市大学
ckac	垂爱
ckxc	成正比
ckx,	捶背
ckeb	垂钓
ckea	捶打
ckei	吹灯
ckeh	沉重代价
ckeo	吹动
ckui	吹风
ckug	吹拂
ckuf	叱咤风云
ckih	吹干
ckir	吹过
ckdn	差之毫厘
ckha	长治久安
ckhx	吹进
ckhg	炊具
ckhy	唱主角
ckte	吹开
ckn.	吹了
ckne	吹来
cknm	锤炼
ckn'	垂柳
ckn,	垂泪
ckml	吹灭
ckmg	垂暮
ckmi	晨钟暮鼓
ckm;	陈芝麻烂谷子
ckmy	揣着明白装糊涂
ckb'	吹牛
ckbu	吃斋念佛
ckbe	纯真年代
ckli	吹捧
cklr	吹破
ck'	沉住气
ck'c	吹气
ck't	垂青
ck'i	重整旗鼓
ck'p	传之其人
ckoc	垂死
cky;	吹头
ckyp	处之泰然
ckyk	捶腿
ckyc	垂体
ckg;	垂首
ckkc	垂直
ckk.	吹着
ckk,	池中之物
ck,	称之为
ck,,	垂危
ck,e	吃着碗里的，望着锅里的
ck,n	吃着碗里，望着锅里
ck,d	成者王侯
ck,t	成者王侯败者寇
ckqm	垂涎
ckqb	吹箫
ckqg	吹嘘
ckqq	垂下
ckqf	垂询
ckfc	出主意
ckqy	重装系统
ckfx	嗤之以鼻
ckfi	朝中有人好做官
ckfd	持之以恒
ckfh	炊烟
ckfg	吹皱一池春水
ckfq	穿针引线
ck;;	吹奏
ck;c	锤子
ck;q	成竹在胸
c,xt	成王败寇
c,jp	查无此人
c,uh	吃完饭
c,ik	储物柜
c,dk	常委会
c,cx	称王称霸
c,cd	唇亡齿寒
c,h	储物间
c,hd	传为佳话
c,hm	重温旧梦
c,tb	成为可能
c,n.	吃完了
c,yc	出问题
c,gh	查无实据
c,,,	颤巍巍
c,qn	储物箱
c,qy	臭味相投
c,fi	成为一个
cqe	吃香的喝辣的
cqee	称兄道弟
cqey	长吁短叹
cqe;	捶胸顿足
cq.p	乘虚而入
cq.n	乘兴而来
cquh	吃闲饭
cqul	丑媳妇总得见公婆
cqir	出现过
cqdq	程序化
cqdp	欻
cqdn	吃香喝辣
cqdy	船小好调头
cqcf	诚心诚意
cqcu	吃现成饭
cqhn	处心积虑
cqhf	诚信经营
cqhx	城乡结合部
cqhk	长效机制
cqtg	重新开始
cqn.	出现了
cqbn	创新能力
cqbt	吃相难看
cq'e	春夏秋冬
cq'd	承先启后
cqpf	称心如意
cqor	储蓄所
cqoc	垂涎三尺
cqog	长相厮守
cqgg	畅销书
cqg,	长袖善舞
cqgc	超现实
cqk.	初学者
cqkh	喘息之间
cqku	抽薪止沸
cqkm	城下之盟
cq,q	痴心妄想
cq,e	喘息未定
cq,;	畅行无阻
cqqt	持续性
cqql	穿小鞋
cqfp	程序员
cqft	春宵一刻
cqfe	垂涎欲滴
cqfh	垂涎已久
cq;e	趁现在
cq;g	朝鲜族
cfap	春意盎然
cfx	创业板
cfxe	纯白
cfxu	蠢笨
cfxh	迟疑不决
cfxt	吃哑巴亏
cfxq	出言不逊
cfje	蠢才
cfjh	春蚕
cfjk	纯粹
cfj,	愁云惨雾
cfeh	蠢蛋
cfem	差一点
cfeg	纯度
cfex	穿衣打扮
cfe;	绰约多姿
cfuu	春分
cfui	春风
cfud	茶余饭后
cfin	春光
cfim	产业革命
cfij	唇膏
cfii	春耕
cfio	春宫
cfio	察言观色
cfdq	春花
cfdh	春寒
cfdr	蠢货
cfdk	春晖
cfd;	醇厚
cfcc	唇齿
cfcj	春潮
cfcd	尝一尝
cfcy	彻夜长谈
cfh	春节
cfhx	纯金
cfhd	茶余酒后
cfhc	春季
cfht	纯净
cfhm	纯碱
cfhl	纯洁
cfhp	春卷
cfn	差远了
cfnc	纯利
cfnm	春联
cfng	春意阑珊
cfnk	蠢驴
cfn,	春雷
cfnf	沉鱼落雁
cfn.	扯远了
cfmx	沉冤莫白
cfmj	纯毛
cfmi	春梦
cfmm	纯棉
cfm,	崇洋媚外
cfbm	彻夜难眠
cfbp	出淤泥而不染
cflg	淳朴
cfl,	穿云破雾
cf''	春秋
cf't	纯情
cf'k	吃一堑，长一智
cfpu	蠢人
cfog	超音速
cfoy	纯
cfpf	春雨如油
cfoc	尺有所短，寸有所长
cfoe	尺有所短
cfo.	春色
cfof	春笋
cfym	春天
cfy;	穿一条裤子
cfgg	纯属
cfg.	唇舌
cfgc	蠢事
cfgk	纯水
cfku	纯真
cfki	纯正
cfkn	春装
cfko	纯种
cfkg	蠢猪
cf,h	春晚
cf,k	出言无状
cf,m	彻夜未眠
cfq	查一下
cfqx	春心
cfqd	成也萧何，败也萧何
cfqn	醇香
cfqb	春晓
cfqq	春夏
cffj	春药
cffc	春意
cffg	春雨
cfff	春运
cff;	春游
cffh	抽油烟机
cffd	初一一回十五一回
cf;c	常用字
c;xx	酬宾
c;xh	筹办
c;x,	筹备
c;jr	筹措
c;eb	抽调
c;ea	抽打
c;ec	仇敌
c;en	车载斗量
c;ep	绸缎
c;eo	抽动
c;eg	迟早的事
c;..	丑恶
c;ui	抽风
c;uf	抽
c;du	仇恨
c;ud	穿凿附会
c;dh	臭汗
c;dk	抽回
c;dq	筹划
c;d;	常在河边走
c;c	踌躇
c;ca	抽查
c;cd	惆怅
c;co	臭虫
c;cg	抽搐
c;c.	出租车
c;c;	瞅瞅
c;hx	抽筋
c;he	传宗接代
c;hc	筹集
c;hn	抽奖
c;hm	筹建
c;hl	筹借
c;hy	丑角
c;hq	仇家
c;to	抽空
c;tp	筹款
c;tg	愁苦
c;nc	创造力
c;nj	酬劳
c;n;	丑陋
c;ma	筹码
c;mu	愁闷
c;mc	稠密
c;mg	筹募
c;m,	臭美
c;lc	臭屁
c;le	筹拍
c;'m	抽签
c;'c	臭气
c;'g	抽取
c;pu	仇人
c;po	愁容
c;ye	丑态
c;yc	抽屉
c;gu	抽身
c;ga	仇杀
c;gc	仇视
c;gk	抽水
c;ko	抽中
c;kf	瞅准
c;kq	赤子之心
c;,u	丑闻
c;,,	臭味
c;,t	成则为王，败则为寇
c;qt	创造性
c;qn	抽象
c;ql	酬谢
c;qy	抽血
c;qg	愁绪
c;fd	抽样
c;fd	姹紫嫣红
c;fh	抽烟
c;fp	仇怨
c;fg	沉醉于
c;;c	筹资
c;;k	臭嘴
c;;;	抽走
cuo	𬘭
cuom	𬘭
chd	𬊤
cgkp	𬺓
cfh;	𬭚
ce	程度
cc	尝尝
d	和
da	哈
dac	蛤
dat	哈
datt	哈
dact	蛤
dj	好
djt	号
dje	浩
dj,	豪
djy	郝
djx	皓
djn	耗
djr	昊
djtg	嚎
dj,m	毫
djep	灏
djh	镐
djj	蒿
djrp	颢
djc	蚝
djyg	壕
djk	貉
djtk	号
djet	浩
djy.	郝
djxt	皓
djry	昊
djht	镐
djjt	蒿
djcm	蚝
djkt	貉
dje	濠
de	还
dee	海
det	嗨
dex	害
de;	孩
de;x	还
detp	咳
de,	亥
dem	骇
dei	骸
de'	氦
deem	海
detm	嗨
de;p	孩
de,p	亥
demp	骇
de'p	氦
d.	何
d.dt	和
d.t	喝
d.p	合
d.tt	呵
d.pt	何
d.e	河
d.m	核
d.n	贺
d.y	赫
d.j	荷
d.pm	盒
d.eb	鹤
d.l	褐
d.'	禾
d.lk	褐
d.tq	吓
d.ny	壑
d.mm	阖
d.pp	颌
d.f	诃
d.k	貉
d.jt	菏
d.r	曷
d.,	劾
d.mp	阂
d.tk	喝
d.np	贺
d.ye	赫
d.lm	禾
d.'b	禾
d.kt	貉
d.rk	曷
d.,n	劾
d.e	涸
d.t	嗬
d.q	翯
du	很
duq	恨
du'	狠
dux	痕
duqi	恨
du'i	狠
duxi	痕
di	横
dit	哼
diq	恒
dic	衡
di,	亨
dimx	横
di,c	珩
dij	蘅
dim	桁
ditn	哼
diqi	恒
dicc	行
di,n	亨
dijc	蘅
dimc	桁
dd	行
ddk	航
ddj	巷
ddm	杭
ddt	吭
dde	夯
dd,c	珩
ddmc	桁
ddeh	沆
ddo	绗
ddc	行
ddjo	巷
ddth	吭
dden	夯
ddoc	绗
dh	含
dhg	韩
dhei	汗
dht	喊
dhx	寒
dhpt	含
dhe	汉
dhet	涵
dhn	函
dhgq	翰
dhr	旱
dhxi	罕
dhq	憾
dhd	焊
